Album,Artist,Genre,Filename,,,,Length,,,
EX'ACT,EXO,Kpop,Lucky One,,,,240,,,
Show Me The Money 5,Machine Gun,Kpop,Machine Gun,,,,227,,,
NCT 127,NCT 127,Kpop,Mad City,,,,196,,,
Volume 1,Magic Sword,Film,Magic Sword - Battlefield-UkA6Y-Z7hvw,,,,260,,,
Welcome 2 Bastarz,Block B BASTARZ,Kpop,Make It Rain,,,,185,,,
House of Cards OST,Jeff Beal,Film,Making History,,,,335,,,
Mala Mia,Maluma,Pop,Mala Mía,,,,242,,,
Mario & Luigi: Bowsers Inside,Yoko Shimomura,Film,Mario & Luigi- Bowsers Inside Story Final Boss,,,,339,,,
Odd,SHINee,Kpop,Married To The Music,,,,218,,,
EVERYTHING YOU WANTED,Jay Park,Kpop,Me Like Yuh(English Version),,,,224,,,
EVERYTHING YOU WANTED,Jay Park,Kpop,Me Like Yuh,,,,223,,,
Reloaded,Luhan,Pop,Medals《勋章》,,,,208,,,
Poldark,Eleanor Tomlinson,Film,Medhel an Gwyns,,,,129,,,
VIXX 2016 Conception Ker,VIXX,Kpop,Milky Way,,,,208,,,
Coloring Book,Chance The Rapper,Rap,Mixtape,,,,293,,,
Batman Begins Soundtrack,Hans Zimmer,Film,Molossus,,,,290,,,
Inception,Hans Zimmer,Film,Mombasa,,,,294,,,
WORLDWIDE,Jay Park,Kpop,MOMMAE,,,,208,,,
EX'ACT,EXO,Kpop,Monster (Instrumental),,,,233,,,
LOTTO,EXO,Kpop,Monster LDN Noise Creeper Bass Remix,,,,246,,,
EX'ACT,EXO,Kpop,Monster(Chinese ver.),,,,226,,,
EX'ACT,EXO,Kpop,Monster,,,,226,,,
Mashup,EXO/ZTAO/LUHAN,Kpop,Monster_Black White_Excited MASHUP,,,,211,,,
Most Hated,Jay Park,Kpop,Most Hated,,,,204,,,
Rosecrans,Dj Quik,Rap,Move Something,,,,209,,,
Move to miami,Enrique Iglesias,Pop,MOVE TO MIAMI,,,,171,,,
Bleached,Loco,Kpop,MOVIE SHOOT,,,,272,,,
Murda,Chancellor,Kpop,MURDA,,,,204,,,
WORLDWIDE,Jay Park,Kpop,My Last,,,,235,,,
LOL,GFriend,Kpop,NAVILLERA (너 그리고 나),,,,194,,,
House of Cards OST,Jeff Beal,Film,Next in Line,,,,108,,,
Coloring Book,Chance the Rapper,Rap,No Problem,,,,285,,,
I Am Sam,SAM KIM,Kpop,No Sense,,,,221,,,
Interstellar OST,Hans Zimmer,Film,No Time For Caution,,,,241,,,
Genius OST,Lorne Balfe,Film,Nobel Prize,,,,90,,,
,,,,,,,,,,
Memoryhouse,Max Richter,Film,November,,,,385,,,
Chemistry,Trouble Maker,Kpop,Now,,,,222,,,
Oasis,Crush,Kpop,Oasis,,,,197,,,
Songify the News,schmoyoho,"Comedy",Of Murder & Catfish,,,,237,,,
